@relation 'MARSYAS_EMPTYhectorDataset.arff-weka.filters.unsupervised.attribute.Remove-R1,3-5,8-9,17-29,31,33-35,37-60,63,66-76,78-94,96-97,99-124'

@attribute Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
0.02453,5.934017,0.185829,0.634171,-0.106723,0.144366,0.616978,0.975879,0.623973,-0.121674,1.289162,0.014286,3.66279,0.159063,0.436912,0.005827,0.016344,0.037047,0.004916,1.938409,0
0.014642,6.079316,0.422133,0.871831,0.101911,0.27235,0.59521,0.534073,0.2626,0.358545,1.248457,0.006723,4.328739,0.082989,0.234606,0.001623,0.004796,0.391599,0.004197,1.921067,0
0.015654,6.406061,0.513772,1.077115,-0.034492,0.233544,0.092473,0.493825,0.81902,0.432607,1.203559,0.008326,3.812241,0.06563,0.195754,0.002935,0.010562,0.353103,0.004256,2.060802,0
0.018276,6.732861,0.292488,0.42005,-0.088699,-0.108643,0.584234,1.162441,0.813486,-0.230079,1.242532,0.021089,3.707503,0.095186,0.24507,0.004984,0.01757,0.046017,0.003864,1.918369,0
0.015535,6.405425,0.589265,0.256912,0.259387,0.307527,0.279791,0.728812,0.358277,0.130887,1.277036,0.012496,4.037491,0.060143,0.199382,0.001711,0.005652,0.070977,0.004133,1.939202,0
0.015384,6.336782,0.408699,0.810355,0.289063,0.21396,0.673731,0.838625,0.503722,-0.052913,1.221571,0.006327,3.651825,0.069841,0.200151,0.003075,0.012211,0.197655,0.004313,1.85634,0
0.015003,6.307458,1.450283,-0.097203,0.068841,0.81906,0.694892,0.777534,0.322182,0.055499,1.209022,0.013259,4.215105,0.091695,0.217541,0.001729,0.006521,0.398832,0.004118,1.936719,0
0.016818,7.034755,0.169283,0.276512,0.302828,0.905494,0.948249,0.992983,0.452686,0.044251,1.220781,0.02478,3.806836,0.106607,0.316206,0.003558,0.009257,0.340437,0.00432,1.88697,0
0.015872,6.134079,1.044044,0.208101,-0.033529,-0.020866,0.564331,0.929835,0.612237,-0.138712,1.271188,0.010827,3.608869,0.066481,0.225665,0.002773,0.009031,0.197084,0.004039,1.906946,0
0.015428,5.671964,0.73239,0.905329,0.605711,0.464494,0.390986,0.911471,0.772857,-0.080707,1.221692,0.009608,3.918674,0.077803,0.220696,0.002487,0.007377,0.24872,0.00452,1.869937,0
0.017664,6.535564,0.466301,0.313952,-0.116047,0.332217,0.646571,1.454428,1.219787,0.019246,1.227029,0.012457,3.608059,0.084785,0.266503,0.004192,0.011004,0.185027,0.004238,1.981529,0
0.019267,6.489258,0.766308,-0.009393,-0.247644,-0.025858,0.046385,0.530751,0.569047,0.242647,1.300912,0.009022,3.664261,0.070653,0.329785,0.003429,0.008166,0.271329,0.003776,1.896441,0
0.016913,6.285445,0.947766,0.18465,-0.196998,0.18089,0.339632,0.92205,0.43826,-0.111272,1.301395,0.008899,3.47702,0.068145,0.241994,0.0031,0.00892,0.160849,0.004639,1.825021,0
0.019431,6.84308,0.656602,0.27775,0.036915,0.380465,0.784624,1.309106,1.003393,0.137038,1.275927,0.007946,3.829055,0.102302,0.264006,0.005181,0.012882,0.370145,0.00395,1.827438,0
